,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307741236/,Москва,rent,flat,2,30,1,34.0,110000,0,Южнопортовый,Волгоградский проспект,32/3к5,Угрешская
1,Холдинг Профи,real_estate_agent,https://www.cian.ru/rent/flat/307723598/,Москва,rent,flat,28,30,1,46.0,140000,0,Южнопортовый,Волгоградский проспект,32/3к4,Угрешская
2,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307684285/,Москва,rent,flat,9,30,1,40.0,90000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
3,TheBest,real_estate_agent,https://www.cian.ru/rent/flat/307651345/,Москва,rent,flat,8,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к4,Угрешская
4,ID 109209993,realtor,https://www.cian.ru/rent/flat/307641565/,Москва,rent,flat,13,30,1,34.4,130000,0,Южнопортовый,Волгоградский проспект,32/3к1,Угрешская
5,BOND недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307586766/,Москва,rent,flat,16,30,1,40.0,85000,0,Южнопортовый,Волгоградский проспект,32/5к2,Угрешская
6,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307496901/,Москва,rent,flat,7,30,1,29.0,70000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307454859/,Москва,rent,flat,7,30,1,28.0,70000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
8,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307433246/,Москва,rent,flat,17,30,1,40.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Угрешская
9,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307249921/,Москва,rent,flat,17,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Угрешская
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307220437/,Москва,rent,flat,17,30,1,38.0,82000,0,Южнопортовый,Волгоградский проспект,32/3к3,Угрешская
11,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307151897/,Москва,rent,flat,17,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Угрешская
12,ID 12546434,homeowner,https://www.cian.ru/rent/flat/301410715/,Москва,rent,flat,9,30,1,45.4,110000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
13,ID 378904,homeowner,https://www.cian.ru/rent/flat/290468620/,Москва,rent,flat,2,8,1,27.0,77000,0,Южнопортовый,Волгоградский проспект,32/5к1,Угрешская
14,ID 51007336,homeowner,https://www.cian.ru/rent/flat/273637760/,Москва,rent,flat,14,24,2,43.0,85000,0,Фили-Давыдково, Герасима Курина,20,Славянский бульвар
15,Estes,real_estate_agent,https://www.cian.ru/rent/flat/307391650/,Москва,rent,flat,5,17,1,37.0,75000,0,Нагатинский затон,Коломенская набережная,12,Нагатинский Затон
16,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307653193/,Москва,rent,flat,6,20,1,30.0,70000,0,Даниловский,проспект Лихачева,12к2,Технопарк
17,ID 277227,unknown,https://www.cian.ru/rent/flat/301320108/,Москва,rent,flat,10,10,2,38.0,100000,0,Даниловский,проспект Лихачева,12к3,Технопарк
18,ID 121850326,homeowner,https://www.cian.ru/rent/flat/307407001/,Москва,rent,flat,2,10,2,50.0,95000,0,Даниловский,Люсиновская ,53,Серпуховская
19,Елена Закора,realtor,https://www.cian.ru/rent/flat/307525375/,Москва,rent,flat,4,5,2,45.0,75000,0,Даниловский,Автозаводская ,23К7,ЗИЛ
20,Олимп,real_estate_agent,https://www.cian.ru/rent/flat/267385655/,Москва,rent,flat,2,26,2,38.0,66000,0,Даниловский,Автозаводская ,23Бк2,ЗИЛ
21,ID 643783,unknown,https://www.cian.ru/rent/flat/307574111/,Москва,rent,flat,7,10,1,35.7,85000,0,Лефортово,Красноказарменная ,14Ак6,Авиамоторная
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307628673/,Москва,rent,flat,2,10,1,35.0,72000,0,Лефортово, Золоторожский Вал,8,Серп и Молот
23,ID 53602860,unknown,https://www.cian.ru/rent/flat/307635832/,Москва,rent,flat,4,12,1,40.0,80000,0,Котловка,Большая Черемушкинская ,5К1,Крымская
24,ID 61574921,homeowner,https://www.cian.ru/rent/flat/307583505/,Москва,rent,flat,9,21,1,36.0,77000,0,Текстильщики,1-й Грайвороновский проезд,13к1,Новохохловская
