,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721240/,Москва,rent,flat,14,15,1,33.0,185000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
1,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307720549/,Москва,rent,flat,8,12,1,48.0,130000,0,Тверской,2-я Брестская ,6,Белорусская
2,Илья Емелин,realtor,https://www.cian.ru/rent/flat/307719574/,Москва,rent,flat,11,17,1,45.2,180000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
3,Vertex,real_estate_agent,https://www.cian.ru/rent/flat/307714938/,Москва,rent,flat,7,12,1,38.0,150000,0,Тверской,2-я Брестская ,6,Белорусская
4,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Белорусская
5,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307675128/,Москва,rent,flat,7,8,1,34.0,210000,0,Беговой,Ленинградский проспект,вл8,Белорусская
6,Ишен Кулатаев,realtor,https://www.cian.ru/rent/flat/307655716/,Москва,rent,flat,10,15,1,45.2,200000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
7,ФРИДОМ,real_estate_agent,https://www.cian.ru/rent/flat/307647906/,Москва,rent,flat,16,44,1,50.0,125000,0,Пресненский,Ходынская ,2,Белорусская
8,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307531012/,Москва,rent,flat,7,12,1,38.0,150000,0,Тверской,2-я Брестская ,6,Белорусская
9,Friends,real_estate_agent,https://www.cian.ru/rent/flat/307480539/,Москва,rent,flat,8,8,1,42.0,200000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
10,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307416834/,Москва,rent,flat,4,8,1,42.0,159500,0,Тверской,1-я Тверская-Ямская ,20/1,Белорусская
11,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307409314/,Москва,rent,flat,7,9,1,45.0,85000,0,Пресненский, Малая Грузинская,46,Белорусская
12,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307403384/,Москва,rent,flat,5,13,1,32.0,150000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307391666/,Москва,rent,flat,7,17,1,30.0,150000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
14,Евгений Мастяев,realtor,https://www.cian.ru/rent/flat/307184949/,Москва,rent,flat,6,6,1,39.0,150000,0,Пресненский,Большой Тишинский переулок,45,Белорусская
15,Ольга Овчинникова,realtor,https://www.cian.ru/rent/flat/306885756/,Москва,rent,flat,3,11,1,60.0,125000,0,Тверской,Лесная ,4с1,Белорусская
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306591434/,Москва,rent,flat,9,10,1,32.0,150000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
17,Иван Александров,realtor,https://www.cian.ru/rent/flat/306501972/,Москва,rent,flat,16,16,1,36.0,120000,0,Беговой,Скаковая ,13К1,Белорусская
18,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306179899/,Москва,rent,flat,9,14,1,43.1,99900,0,Беговой,Верхняя ,6,Белорусская
19,ID 238340,unknown,https://www.cian.ru/rent/flat/303847686/,Москва,rent,flat,6,8,1,31.0,80000,0,Пресненский,Грузинский переулок,16,Белорусская
20,Дмитрий  Калачев,realtor,https://www.cian.ru/rent/flat/302919225/,Москва,rent,flat,7,8,1,33.0,185000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
21,ID 1372,realtor,https://www.cian.ru/rent/flat/301352978/,Москва,rent,flat,27,44,1,49.2,170000,0,Пресненский,Ходынская ,2,Белорусская
22,ID 47565493,homeowner,https://www.cian.ru/rent/flat/293294162/,Москва,rent,flat,3,8,1,34.0,185000,0,Беговой, 1-я Ямского Поля,1к1,Белорусская
23,Наталья Буланова,realtor,https://www.cian.ru/rent/flat/273316928/,Москва,rent,flat,4,12,1,35.2,100000,0,Пресненский, Пресненский Вал,42,Белорусская
24,ID 1372,realtor,https://www.cian.ru/rent/flat/255790466/,Москва,rent,flat,35,44,1,45.3,160000,0,Пресненский,Ходынская ,2,Белорусская
25,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
26,ID 16276255,unknown,https://www.cian.ru/rent/flat/307538535/,Москва,rent,flat,3,4,1,45.0,128000,0,Басманный,Старосадский переулок,10С1,Китай-город
27,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Кропоткинская
