,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 3018244,unknown,https://www.cian.ru/rent/flat/307761556/,Москва,rent,flat,2,27,3,88.9,145000,0,Тимирязевский,Дмитровское шоссе,13,Тимирязевская
1,Александр Гусенков,realtor,https://www.cian.ru/rent/flat/307745240/,Москва,rent,flat,17,25,3,106.0,140000,0,Бутырский, Милашенкова,1,Тимирязевская
2,Эльза Соломонович,realtor,https://www.cian.ru/rent/flat/307563295/,Москва,rent,flat,5,5,3,56.0,60000,0,Бутырский, Милашенкова,11К2,Тимирязевская
3,ID 505654,realtor,https://www.cian.ru/rent/flat/307552195/,Москва,rent,flat,29,30,3,82.1,120000,0,Тимирязевский,Астрадамский проезд,4Ак2,Тимирязевская
4,ID 80171119,unknown,https://www.cian.ru/rent/flat/307538896/,Москва,rent,flat,1,8,3,82.0,120000,0,Тимирязевский,Дмитровский проезд,8,Тимирязевская
5,ID 19272554,unknown,https://www.cian.ru/rent/flat/307386811/,Москва,rent,flat,15,30,3,103.2,150000,0,Тимирязевский,Астрадамский проезд,4Ак1,Тимирязевская
6,Trust Realty,real_estate_agent,https://www.cian.ru/rent/flat/307112156/,Москва,rent,flat,17,59,3,66.0,210000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская
7,Людмила Игнатова,realtor,https://www.cian.ru/rent/flat/307041343/,Москва,rent,flat,8,16,3,70.0,85000,0,Бутырский, Яблочкова,35Б,Тимирязевская
8,Валерия Архипова,realtor,https://www.cian.ru/rent/flat/306805276/,Москва,rent,flat,14,23,3,90.0,125000,0,Бутырский, Яблочкова,16,Тимирязевская
9,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/305489612/,Москва,rent,flat,17,60,3,70.0,210000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская
10,Apple Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/305372707/,Москва,rent,flat,17,58,3,65.0,210000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305363354/,Москва,rent,flat,17,59,3,66.0,210000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская
12,Дарья Румянцева,realtor,https://www.cian.ru/rent/flat/307632693/,Москва,rent,flat,2,5,3,68.0,110000,0,Савеловский,1-я Хуторская ,2К2,Дмитровская
13,ID 100465345,homeowner,https://www.cian.ru/rent/flat/307552263/,Москва,rent,flat,3,41,3,82.0,150000,0,Хорошевский,Ленинградский проспект,37/6,Аэропорт
14,ID 78836159,homeowner,https://www.cian.ru/rent/flat/298741655/,Москва,rent,flat,5,44,3,68.0,160000,0,Пресненский,Ходынская ,2,Улица 1905 года
15,ID 270312,unknown,https://www.cian.ru/rent/flat/307703930/,Москва,rent,flat,12,49,3,67.0,150000,0,Бутырский,Новодмитровская ,2к7,Дмитровская
16,ID 26772845,unknown,https://www.cian.ru/rent/flat/307538486/,Москва,rent,flat,10,18,3,120.0,220000,0,Хорошевский, Гризодубовой,4К4,ЦСКА
17,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307657360/,Москва,rent,flat,19,23,3,70.0,210000,0,Хорошево-Мневники,проспект Маршала Жукова,39Ак2,Народное Ополчение
18,Монолит,real_estate_agent,https://www.cian.ru/rent/flat/263677575/,Москва,rent,flat,5,12,2,75.0,100000,0,Бутырский, Милашенкова,1,Тимирязевская
19,ID 122095580,homeowner,https://www.cian.ru/rent/flat/307647191/,Москва,rent,flat,4,15,4,96.0,260000,0,Хорошевский,Ходынский бульвар,2,ЦСКА
20,МЕГАПОЛИС ЭСТЕЙТ,real_estate_agent,https://www.cian.ru/rent/flat/298464590/,Москва,rent,flat,34,43,3,99.8,140000,0,Хорошевский,Хорошевское шоссе,16к2,Беговая
21,ID 107281301,real_estate_agent,https://www.cian.ru/rent/flat/307397803/,Москва,rent,flat,26,49,2,65.0,140000,0,Бутырский,Новодмитровская ,2к7,Дмитровская
22,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307685708/,Москва,rent,flat,52,59,1,40.0,150000,0,Тимирязевский,Дмитровский проезд,1,Тимирязевская
23,АЛЬТЕРНАТИВА,real_estate_agent,https://www.cian.ru/rent/flat/307672803/,Москва,rent,flat,15,43,3,100.0,200000,0,Хорошевский,Хорошевское шоссе,16к1,Беговая
