,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307773239/,Москва,rent,flat,4,5,1,15.0,50000,0,Головинский,Солнечногорская ,7к1,Моссельмаш
1,ID 388457,realtor,https://www.cian.ru/rent/flat/307771295/,Москва,rent,flat,5,33,1,36.0,80000,0,Западное Дегунино,Ильменский проезд,14к3,Моссельмаш
2,Ксения Матвеева,realtor,https://www.cian.ru/rent/flat/307746388/,Москва,rent,flat,16,16,1,38.0,45000,0,Бескудниковский,Коровинское шоссе,6К3,Моссельмаш
3,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307717456/,Москва,rent,flat,5,23,1,36.0,80000,0,Западное Дегунино,Ильменский проезд,14к3,Моссельмаш
4,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307717009/,Москва,rent,flat,19,23,1,33.3,73000,0,Западное Дегунино,Ильменский проезд,17к3,Моссельмаш
5,Сергей Финашов,realtor,https://www.cian.ru/rent/flat/307716367/,Москва,rent,flat,2,9,1,33.0,70000,0,Ховрино,Флотская ,13К1,Моссельмаш
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307713699/,Москва,rent,flat,11,17,1,40.0,45000,0,Западное Дегунино, Ивана Сусанина,6К1,Моссельмаш
7,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307711340/,Москва,rent,flat,3,5,1,30.0,60000,0,Головинский,Солнечногорский проезд,5К1,Моссельмаш
8,Этажи Москва,real_estate_agent,https://www.cian.ru/rent/flat/307683303/,Москва,rent,flat,7,13,1,42.2,110000,0,Западное Дегунино,Ильменский проезд,14к6,Моссельмаш
9,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307653852/,Москва,rent,flat,8,12,1,34.0,45000,0,Головинский,Флотская ,37,Моссельмаш
10,ID 47298565,homeowner,https://www.cian.ru/rent/flat/307640711/,Москва,rent,flat,3,5,1,30.0,60000,0,Головинский,Солнечногорский проезд,5К1,Моссельмаш
11,ID 81033558,homeowner,https://www.cian.ru/rent/flat/307635678/,Москва,rent,flat,8,14,1,38.0,70000,0,Западное Дегунино,Талдомская ,17К2,Моссельмаш
12,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307628451/,Москва,rent,flat,27,36,1,40.0,109000,0,Западное Дегунино,Ильменский проезд,14к1,Моссельмаш
13,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307614054/,Москва,rent,flat,1,3,1,26.0,65000,0,Головинский,Солнечногорский проезд,17,Моссельмаш
14,EstateLiga,real_estate_agent,https://www.cian.ru/rent/flat/307591071/,Москва,rent,flat,22,39,1,54.0,105000,0,Западное Дегунино,Ильменский проезд,14к3,Моссельмаш
15,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307576520/,Москва,rent,flat,3,5,1,32.0,45000,0,Головинский,Флотская ,56,Моссельмаш
