,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307828161/,Москва,rent,flat,9,9,3,61.0,60000,0,Выхино-Жулебино,Ташкентская ,24К1,Юго-Восточная
1,Светлана Бирюкова,realtor,https://www.cian.ru/rent/flat/307812175/,Москва,rent,flat,16,22,3,71.0,120000,0,Выхино-Жулебино, Академика Скрябина,3/1к1,Юго-Восточная
2,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307797233/,Москва,rent,flat,5,5,3,60.0,75000,0,Выхино-Жулебино,Ташкентская ,16К2,Юго-Восточная
3,Нью Сити,real_estate_agent,https://www.cian.ru/rent/flat/307592392/,Москва,rent,flat,6,14,3,90.0,80000,0,Выхино-Жулебино,Самаркандский Бульвар 137А кв-л,к11,Юго-Восточная
4,Елена Теплякова,realtor,https://www.cian.ru/rent/flat/306855677/,Москва,rent,flat,1,9,3,65.0,60000,0,Выхино-Жулебино,Ферганский проезд,3К2,Юго-Восточная
5,ID 92569743,homeowner,https://www.cian.ru/rent/flat/307585469/,Москва,rent,flat,6,13,2,60.0,65000,0,, Летчика Грицевца,,Пыхтино
6,Циан х ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307358638/,Москва,rent,flat,3,9,3,60.4,70000,0,Бибирево, Корнейчука,47,Бибирево
7,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307584522/,Москва,rent,flat,9,9,3,60.0,60000,0,Ясенево,проезд Карамзина,1К3,Новоясеневская
8,ID 50594252,homeowner,https://www.cian.ru/rent/flat/307650899/,Москва,rent,flat,6,10,2,45.0,53000,0,Выхино-Жулебино,Ташкентская ,25К1,Юго-Восточная
9,ID 41040929,homeowner,https://www.cian.ru/rent/flat/303044283/,Москва,rent,flat,10,14,3,59.3,60000,0,, Стожарова,5,Крёкшино
10,Владимир  Сафронов,realtor,https://www.cian.ru/rent/flat/307371964/,Москва,rent,flat,24,25,4,86.0,100000,0,Чертаново Южное,Варшавское шоссе,141к9,Аннино
11,ID 116799242,homeowner,https://www.cian.ru/rent/flat/302412435/,Москва,rent,flat,5,17,2,54.0,55000,0,Некрасовка,Покровская ,31,Некрасовка
12,ID 74788133,homeowner,https://www.cian.ru/rent/flat/280504992/,Москва,rent,flat,5,9,3,65.0,75000,0,Теплый Стан,Профсоюзная ,156К3,Тёплый Стан
13,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307429622/,Москва,rent,flat,1,9,3,76.0,65000,0,Зябликово,Шипиловская ,41К1,Шипиловская
14,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307201700/,Москва,rent,flat,2,5,3,74.0,70000,0,Хорошево-Мневники,проспект Маршала Жукова,7К1,Хорошёво
15,Антон Осмелкин,realtor,https://www.cian.ru/rent/flat/307530536/,Москва,rent,flat,4,9,3,60.0,70000,0,Отрадное, Бестужевых,17Б,Отрадное
16,Лариса Смородина,realtor,https://www.cian.ru/rent/flat/307706150/,Москва,rent,flat,11,16,2,51.0,55000,0,Вешняки,Косинская ,24К3,Выхино
17,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307057330/,Москва,rent,flat,3,12,3,61.0,70000,0,, Яворки,1к3,Кедровая
18,GDK-недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/302441459/,Москва,rent,flat,3,9,3,49.5,48000,0,Вешняки,Снайперская ,12,Выхино
19,ID 95720674,unknown,https://www.cian.ru/rent/flat/307627741/,Москва,rent,flat,9,9,2,43.0,55000,0,Вешняки,Косинская ,26К1,Выхино
20,Елена Прибыш,realtor,https://www.cian.ru/rent/flat/307693802/,Москва,rent,flat,4,9,3,65.0,70000,0,Коньково, Академика Арцимовича,13,Коньково
21,ID 12694494,realtor,https://www.cian.ru/rent/flat/307656754/,Москва,rent,flat,5,9,3,50.0,60000,0,Орехово-Борисово Северное, Генерала Белова,19К1,Домодедовская
22,ID 117778273,homeowner,https://www.cian.ru/rent/flat/307593202/,Москва,rent,flat,2,9,3,60.0,65000,0,Бирюлево Восточное,Бирюлевская ,5К1,Царицыно
23,Максим Бавин,realtor,https://www.cian.ru/rent/flat/307654749/,Москва,rent,flat,1,17,3,73.0,70000,0,Москворечье-Сабурово,Кантемировская ,22К1,Кантемировская
