,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Дом Плюс,real_estate_agent,https://www.cian.ru/rent/flat/307751568/,Москва,rent,flat,14,17,1,40.0,70000,0,Донской,Загородное шоссе,4К2,Крымская
1,100 Квартир,real_estate_agent,https://www.cian.ru/rent/flat/307749793/,Москва,rent,flat,19,22,1,45.0,80000,0,Котловка, Дмитрия Ульянова,47,Крымская
2,Владис,real_estate_agent,https://www.cian.ru/rent/flat/307723977/,Москва,rent,flat,6,12,1,38.0,80000,0,Академический,Большая Черемушкинская ,20К4,Крымская
3,Ирина Михалина,realtor,https://www.cian.ru/rent/flat/307722501/,Москва,rent,flat,4,5,1,30.0,45000,0,Академический,Большая Черемушкинская ,8к1,Крымская
4,ID 122170844,realtor,https://www.cian.ru/rent/flat/307719747/,Москва,rent,flat,4,14,1,39.2,60000,0,Академический,Большая Черемушкинская ,2К6,Крымская
5,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307700371/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Крымская
6,ID 446076,realtor,https://www.cian.ru/rent/flat/307689444/,Москва,rent,flat,2,5,1,34.4,60000,0,Котловка, Ремизова,4,Крымская
7,ID 134808,unknown,https://www.cian.ru/rent/flat/307683896/,Москва,rent,flat,10,17,1,40.0,65000,0,Котловка, Дмитрия Ульянова,47,Крымская
8,ID 93921447,unknown,https://www.cian.ru/rent/flat/307658988/,Москва,rent,flat,4,5,1,32.0,50000,0,Академический, Шверника,6К1,Крымская
9,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307651420/,Москва,rent,flat,13,17,1,40.0,83000,0,Донской,Загородное шоссе,8К2,Крымская
10,Мой Дом - отделение Добрынинское,real_estate_agent,https://www.cian.ru/rent/flat/307635931/,Москва,rent,flat,7,9,1,36.0,45000,0,Донской,Загородное шоссе,8кВ,Крымская
11,ID 53602860,unknown,https://www.cian.ru/rent/flat/307635832/,Москва,rent,flat,4,12,1,40.0,80000,0,Котловка,Большая Черемушкинская ,5К1,Крымская
12,ОЛИМПИК СТАР,real_estate_agent,https://www.cian.ru/rent/flat/307635745/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Крымская
13,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307625844/,Москва,rent,flat,6,12,1,40.0,70000,0,Академический, Шверника,7К2,Крымская
14,WHITE BROKER Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307574747/,Москва,rent,flat,13,17,1,40.0,83000,0,Донской,Загородное шоссе,8К2,Крымская
15,Светлана Еремина,realtor,https://www.cian.ru/rent/flat/307574098/,Москва,rent,flat,3,15,1,41.0,65000,0,Котловка,Нагорная ,21К1,Крымская
16,ID 5677,realtor,https://www.cian.ru/rent/flat/307566563/,Москва,rent,flat,5,5,1,31.0,40000,0,Котловка,Большая Черемушкинская ,15К1,Крымская
17,ID 56568627,homeowner,https://www.cian.ru/rent/flat/307565269/,Москва,rent,flat,13,17,1,40.0,83000,0,Донской,Загородное шоссе,8К2,Крымская
18,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307362295/,Москва,rent,flat,2,18,1,43.9,99900,0,Академический,Новочеремушкинская ,17,Крымская
19,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307254483/,Москва,rent,flat,3,5,1,36.0,55000,0,Академический, Винокурова,12К1,Крымская
20,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307244137/,Москва,rent,flat,5,5,1,33.0,50000,0,Котловка, Ремизова,3к1,Крымская
21,Realtme,real_estate_agent,https://www.cian.ru/rent/flat/307133071/,Москва,rent,flat,6,11,1,35.0,90000,0,Донской,Духовской переулок,19,Крымская
22,ID 610871,homeowner,https://www.cian.ru/rent/flat/306653483/,Москва,rent,flat,14,24,1,38.8,79500,0,Котловка, Дмитрия Ульянова,43К3,Крымская
23,Александр Иванов,realtor,https://www.cian.ru/rent/flat/290491372/,Москва,rent,flat,19,19,1,38.0,85000,0,Академический, Дмитрия Ульянова,27к1,Крымская
24,ID 79857974,homeowner,https://www.cian.ru/rent/flat/284814483/,Москва,rent,flat,8,11,1,31.0,120000,0,Донской,Духовской переулок,19с2,Крымская
25,ID 8506,realtor,https://www.cian.ru/rent/flat/220405659/,Москва,rent,flat,14,16,1,36.0,65000,0,Котловка,Большая Черемушкинская ,9К2,Крымская
26,Оксана Беликова,realtor,https://www.cian.ru/rent/flat/201935160/,Москва,rent,flat,3,5,1,32.0,55000,0,Академический, Шверника,18К1,Крымская
27,Виктория Шмакова,realtor,https://www.cian.ru/rent/flat/307605586/,Москва,rent,flat,7,9,1,33.0,58000,0,Черемушки, Архитектора Власова,19К4,Новые Черёмушки
28,ID 22699,realtor,https://www.cian.ru/rent/flat/271799247/,Москва,rent,flat,2,5,1,31.0,57000,0,Котловка,Нагорная ,38К2,Нахимовский проспект
29,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
