,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Андрей Дмитриев,realtor,https://www.cian.ru/rent/flat/307742534/,Москва,rent,flat,5,10,1,37.0,95000,0,Тверской,Большой Гнездниковский переулок,10,Пушкинская
1,Максим Пашков,realtor,https://www.cian.ru/rent/flat/307724957/,Москва,rent,flat,6,13,1,40.0,130000,0,Тверской, Малая Дмитровка,24/2,Пушкинская
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307721235/,Москва,rent,flat,3,5,1,37.0,165000,0,Тверской, Петровка,26С3,Пушкинская
3,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307704291/,Москва,rent,flat,5,5,1,30.0,140000,0,Тверской,Старопименовский переулок,8,Пушкинская
4,Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/307703033/,Москва,rent,flat,11,12,1,40.0,150000,0,Пресненский,Большой Козихинский переулок,27С2,Пушкинская
5,Евгений Добромыслов,realtor,https://www.cian.ru/rent/flat/307675603/,Москва,rent,flat,1,5,1,44.0,85000,0,Тверской,Старопименовский переулок,8,Пушкинская
6,Василий Захаров,realtor,https://www.cian.ru/rent/flat/307654701/,Москва,rent,flat,6,6,1,55.0,100000,0,Тверской,Тверская ,19А,Пушкинская
7,Dream City,real_estate_agent,https://www.cian.ru/rent/flat/307584843/,Москва,rent,flat,5,10,1,35.0,120000,0,Тверской,Большой Гнездниковский переулок,10,Пушкинская
8,Метр-Инфо,real_estate_agent,https://www.cian.ru/rent/flat/307582157/,Москва,rent,flat,4,4,1,37.0,140000,0,Тверской,Малый Гнездниковский переулок,10,Пушкинская
9,Суламит-НГС,real_estate_agent,https://www.cian.ru/rent/flat/307573431/,Москва,rent,flat,4,4,1,24.0,110000,0,Тверской, Петровка,17С2,Пушкинская
10,Татьяна Мамонтова,realtor,https://www.cian.ru/rent/flat/307551993/,Москва,rent,flat,3,5,1,42.0,250000,0,Тверской, Петровка,26С3,Пушкинская
11,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Пушкинская
12,Антонина Басенко,realtor,https://www.cian.ru/rent/flat/307520619/,Москва,rent,flat,6,9,1,35.0,120000,0,Тверской,1-й Колобовский переулок,15/6,Пушкинская
13,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307495950/,Москва,rent,flat,6,8,1,70.0,210000,0,Пресненский,Малый Патриарший переулок,3,Пушкинская
14,ID 17518411,homeowner,https://www.cian.ru/rent/flat/307313705/,Москва,rent,flat,4,6,1,34.0,120000,0,Тверской,4-я Тверская-Ямская ,4,Пушкинская
15,Dream City,real_estate_agent,https://www.cian.ru/rent/flat/306988493/,Москва,rent,flat,1,10,1,41.0,110000,0,Тверской,Большой Гнездниковский переулок,10,Пушкинская
16,МиР-недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306912816/,Москва,rent,flat,6,7,1,36.0,100000,0,Тверской,Воротниковский переулок,5/9,Пушкинская
17,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/306521256/,Москва,rent,flat,9,13,1,61.0,200000,0,Пресненский,Большая Садовая ,5к1,Пушкинская
18,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/306278276/,Москва,rent,flat,3,5,1,40.0,165000,0,Тверской, Петровка,26С3,Пушкинская
19,ID 13518695,homeowner,https://www.cian.ru/rent/flat/303780033/,Москва,rent,flat,8,9,1,37.0,300000,0,Тверской,1-я Тверская-Ямская ,2,Пушкинская
20,ID 12360437,homeowner,https://www.cian.ru/rent/flat/290103403/,Москва,rent,flat,3,5,1,37.0,165000,0,Тверской, Петровка,26С3,Пушкинская
21,Сергей Леоненко,realtor,https://www.cian.ru/rent/flat/271914636/,Москва,rent,flat,6,9,1,42.0,160000,0,Тверской,Тверская ,15,Пушкинская
22,Евгения Гаркуша,realtor,https://www.cian.ru/rent/flat/270275469/,Москва,rent,flat,2,4,1,18.0,78000,0,Тверской,Страстной бульвар,12С1,Пушкинская
23,Кварт-Отель,real_estate_agent,https://www.cian.ru/rent/flat/238811891/,Москва,rent,flat,11,12,1,36.0,120000,0,Тверской,Оружейный переулок,5,Пушкинская
24,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
