,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Андрей Дмитриев,realtor,https://www.cian.ru/rent/flat/307742534/,Москва,rent,flat,5,10,1,37.0,95000,0,Тверской,Большой Гнездниковский переулок,10,Тверская
1,Максим Пашков,realtor,https://www.cian.ru/rent/flat/307724957/,Москва,rent,flat,6,13,1,40.0,130000,0,Тверской, Малая Дмитровка,24/2,Тверская
2,ПАРТНЕР,real_estate_agent,https://www.cian.ru/rent/flat/307704291/,Москва,rent,flat,5,5,1,30.0,140000,0,Тверской,Старопименовский переулок,8,Тверская
3,Мозаик Групп,real_estate_agent,https://www.cian.ru/rent/flat/307703033/,Москва,rent,flat,11,12,1,40.0,150000,0,Пресненский,Большой Козихинский переулок,27С2,Тверская
4,Евгений Добромыслов,realtor,https://www.cian.ru/rent/flat/307675603/,Москва,rent,flat,1,5,1,44.0,85000,0,Тверской,Старопименовский переулок,8,Тверская
5,Василий Захаров,realtor,https://www.cian.ru/rent/flat/307654701/,Москва,rent,flat,6,6,1,55.0,100000,0,Тверской,Тверская ,19А,Тверская
6,Dream City,real_estate_agent,https://www.cian.ru/rent/flat/307584843/,Москва,rent,flat,5,10,1,35.0,120000,0,Тверской,Большой Гнездниковский переулок,10,Тверская
7,Метр-Инфо,real_estate_agent,https://www.cian.ru/rent/flat/307582157/,Москва,rent,flat,4,4,1,37.0,140000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
8,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307537332/,Москва,rent,flat,2,4,1,35.0,110000,0,Тверской,Малый Гнездниковский переулок,10,Тверская
9,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307495950/,Москва,rent,flat,6,8,1,70.0,210000,0,Пресненский,Малый Патриарший переулок,3,Тверская
10,ID 17518411,homeowner,https://www.cian.ru/rent/flat/307313705/,Москва,rent,flat,4,6,1,34.0,120000,0,Тверской,4-я Тверская-Ямская ,4,Тверская
11,Dream City,real_estate_agent,https://www.cian.ru/rent/flat/306988493/,Москва,rent,flat,1,10,1,41.0,110000,0,Тверской,Большой Гнездниковский переулок,10,Тверская
12,МиР-недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/306912816/,Москва,rent,flat,6,7,1,36.0,100000,0,Тверской,Воротниковский переулок,5/9,Тверская
13,Chase R.E.S.,real_estate_agent,https://www.cian.ru/rent/flat/306521256/,Москва,rent,flat,9,13,1,61.0,200000,0,Пресненский,Большая Садовая ,5к1,Тверская
14,ID 13518695,homeowner,https://www.cian.ru/rent/flat/303780033/,Москва,rent,flat,8,9,1,37.0,300000,0,Тверской,1-я Тверская-Ямская ,2,Тверская
15,Сергей Леоненко,realtor,https://www.cian.ru/rent/flat/271914636/,Москва,rent,flat,6,9,1,42.0,160000,0,Тверской,Тверская ,15,Тверская
16,Евгения Гаркуша,realtor,https://www.cian.ru/rent/flat/270275469/,Москва,rent,flat,2,4,1,18.0,78000,0,Тверской,Страстной бульвар,12С1,Тверская
17,Кварт-Отель,real_estate_agent,https://www.cian.ru/rent/flat/238811891/,Москва,rent,flat,11,12,1,36.0,120000,0,Тверской,Оружейный переулок,5,Тверская
18,Вертикаль,real_estate_agent,https://www.cian.ru/rent/flat/307656261/,Москва,rent,flat,2,8,2,40.0,90000,0,Пресненский,Большой Кондратьевский переулок,6,Белорусская
19,Вартан Вартанян,realtor,https://www.cian.ru/rent/flat/307525401/,Москва,rent,flat,12,12,2,49.0,100000,0,Арбат,Староконюшенный переулок,30,Кропоткинская
20,ID 24419,real_estate_agent,https://www.cian.ru/rent/flat/307470965/,Москва,rent,flat,4,8,2,46.0,150000,0,Хамовники,переулок Сивцев Вражек,15/25,Кропоткинская
21,ID 69392442,homeowner,https://www.cian.ru/rent/flat/251955241/,Москва,rent,flat,6,8,1,40.0,80000,0,Басманный, Земляной Вал,39/1С1,Чкаловская
22,Alfa Forum Real Estate,real_estate_agent,https://www.cian.ru/rent/flat/307677528/,Москва,rent,flat,13,14,1,42.0,110000,0,Тверской,Лесная ,10-16,Белорусская
23,ID 48976342,unknown,https://www.cian.ru/rent/flat/307046940/,Москва,rent,flat,3,5,2,42.0,85000,0,Тверской, Петровка,26С5,Трубная
24,Елена Власенкова,realtor,https://www.cian.ru/rent/flat/307519893/,Москва,rent,flat,11,15,2,46.0,100000,0,Тверской,3-й Самотечный переулок,2,Достоевская
