,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 7782,realtor,https://www.cian.ru/rent/flat/307730280/,Москва,rent,flat,10,14,1,37.0,55000,0,Покровское-Стрешнево,Волоколамское шоссе,56К1,Щукинская
1,АЛЬФА,real_estate_agent,https://www.cian.ru/rent/flat/307720628/,Москва,rent,flat,5,9,1,36.0,70000,0,Строгино, Маршала Катукова,6К2,Щукинская
2,Наталия Хлесткова,realtor,https://www.cian.ru/rent/flat/307714811/,Москва,rent,flat,4,17,1,36.3,65000,0,Покровское-Стрешнево,Волоколамское шоссе,41к1,Щукинская
3,Ольга Кубарева,realtor,https://www.cian.ru/rent/flat/307706182/,Москва,rent,flat,10,25,1,37.8,85000,0,Щукино,Авиационная ,59,Щукинская
4,EMPIRE HOME,real_estate_agent,https://www.cian.ru/rent/flat/307704701/,Москва,rent,flat,1,12,1,35.0,55000,0,Щукино, Рогова,24,Щукинская
5,MOTYLEK - департамент недвижимости,real_estate_agent,https://www.cian.ru/rent/flat/307683779/,Москва,rent,flat,1,12,1,35.0,60000,0,Щукино, Рогова,24,Щукинская
6,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307676682/,Москва,rent,flat,5,9,1,36.0,70000,0,Строгино, Маршала Катукова,6К2,Щукинская
7,Николай Истрашкин,realtor,https://www.cian.ru/rent/flat/307675728/,Москва,rent,flat,4,5,1,33.0,65000,0,Щукино, Максимова,10,Щукинская
8,ГАРАНТ,real_estate_agent,https://www.cian.ru/rent/flat/307673427/,Москва,rent,flat,3,17,1,36.0,52000,0,Строгино, Исаковского,33К4,Щукинская
9,ЦАН,real_estate_agent,https://www.cian.ru/rent/flat/307651970/,Москва,rent,flat,5,9,1,36.0,70000,0,Строгино, Маршала Катукова,6К2,Щукинская
10,Dream City,real_estate_agent,https://www.cian.ru/rent/flat/307649164/,Москва,rent,flat,4,16,1,40.0,65000,0,Строгино, Исаковского,29К3,Щукинская
11,Оксана Гимишян,realtor,https://www.cian.ru/rent/flat/307611388/,Москва,rent,flat,8,25,1,40.0,85000,0,Щукино, Берзарина,32,Щукинская
12,ID 26273579,homeowner,https://www.cian.ru/rent/flat/307594144/,Москва,rent,flat,4,25,1,40.0,95000,0,Щукино, Берзарина,32,Щукинская
13,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307582412/,Москва,rent,flat,20,31,1,100.0,330000,0,Щукино,Авиационная ,77к2,Щукинская
14,Анна Максименко,realtor,https://www.cian.ru/rent/flat/307575567/,Москва,rent,flat,2,25,1,41.0,80000,0,Щукино, Берзарина,32,Щукинская
15,BDC,real_estate_agent,https://www.cian.ru/rent/flat/307555990/,Москва,rent,flat,13,25,1,41.0,89900,0,Щукино, Берзарина,32,Щукинская
16,Сергей Дудин,realtor,https://www.cian.ru/rent/flat/307523831/,Москва,rent,flat,3,9,1,33.0,48000,0,Строгино, Исаковского,22К1,Щукинская
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307495832/,Москва,rent,flat,2,25,1,41.0,80000,0,Щукино, Берзарина,32,Щукинская
18,ID 20141018,realtor,https://www.cian.ru/rent/flat/307474824/,Москва,rent,flat,3,12,1,36.0,70000,0,Щукино,Авиационная ,70К3,Щукинская
19,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307444650/,Москва,rent,flat,7,9,1,32.0,90000,0,Строгино, Маршала Катукова,11К2,Щукинская
20,СМАРЕНТ,real_estate_agent,https://www.cian.ru/rent/flat/307412043/,Москва,rent,flat,13,25,1,41.0,89900,0,Щукино, Берзарина,32,Щукинская
21,ID 121820285,homeowner,https://www.cian.ru/rent/flat/307370494/,Москва,rent,flat,8,17,1,37.6,72000,0,Строгино, Исаковского,33К1,Щукинская
22,ID 5419,realtor,https://www.cian.ru/rent/flat/307369620/,Москва,rent,flat,6,12,1,39.0,70000,0,Строгино,Строгинский бульвар,26К3,Щукинская
23,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307335561/,Москва,rent,flat,16,22,1,50.0,125000,0,Щукино,Щукинская ,2,Щукинская
24,Априори,real_estate_agent,https://www.cian.ru/rent/flat/307327547/,Москва,rent,flat,3,5,1,32.0,56000,0,Хорошево-Мневники,Живописная ,16,Щукинская
25,Ла Терра,real_estate_agent,https://www.cian.ru/rent/flat/307125953/,Москва,rent,flat,21,25,1,40.0,78000,0,Щукино, Берзарина,32,Щукинская
26,ID 120553992,homeowner,https://www.cian.ru/rent/flat/307109705/,Москва,rent,flat,13,22,1,40.0,75000,0,Строгино, Твардовского,18К5,Щукинская
27,МИЭЛЬ,real_estate_agent,https://www.cian.ru/rent/flat/306927541/,Москва,rent,flat,12,12,1,39.0,50000,0,Строгино, Исаковского,2К2,Щукинская
28,ID 7324073,homeowner,https://www.cian.ru/rent/flat/306107999/,Москва,rent,flat,16,22,1,50.9,125000,0,Щукино,Щукинская ,2,Щукинская
29,ID 46367375,homeowner,https://www.cian.ru/rent/flat/305883396/,Москва,rent,flat,2,25,1,41.2,83000,0,Щукино, Берзарина,32,Щукинская
30,ID 98370328,homeowner,https://www.cian.ru/rent/flat/305535247/,Москва,rent,flat,15,25,1,35.0,90000,0,Щукино, Берзарина,32,Щукинская
31,ФРИДОМ,real_estate_agent,https://www.cian.ru/rent/flat/304940887/,Москва,rent,flat,16,16,1,39.0,63000,0,Строгино, Твардовского,23,Щукинская
32,ID 6068,realtor,https://www.cian.ru/rent/flat/299739719/,Москва,rent,flat,22,22,1,39.0,50000,0,Строгино,Таллинская ,30,Щукинская
33,ID 4569,official_representative,https://www.cian.ru/rent/flat/291880283/,Москва,rent,flat,1,12,1,28.0,56000,0,Строгино, Маршала Катукова,25К1,Щукинская
34,ID 89084422,real_estate_agent,https://www.cian.ru/rent/flat/290313833/,Москва,rent,flat,11,12,1,40.0,60000,0,Строгино,Таллинская ,9К4,Щукинская
35,Real Estate Law Services,real_estate_agent,https://www.cian.ru/rent/flat/279776597/,Москва,rent,flat,3,5,1,14.0,38000,0,Хорошево-Мневники,бульвар Генерала Карбышева,19К5,Щукинская
36,ID 4569,official_representative,https://www.cian.ru/rent/flat/273981857/,Москва,rent,flat,1,12,1,26.0,56000,0,Строгино, Маршала Катукова,25К1,Щукинская
37,ID 72699431,homeowner,https://www.cian.ru/rent/flat/272869984/,Москва,rent,flat,19,25,1,40.0,70000,0,Щукино,Авиационная ,59,Щукинская
38,Мария Голицына,realtor,https://www.cian.ru/rent/flat/238887788/,Москва,rent,flat,9,25,1,41.0,75000,0,Щукино,Авиационная ,59,Щукинская
39,Александр Лурье,realtor,https://www.cian.ru/rent/flat/227046376/,Москва,rent,flat,2,5,1,32.0,52000,0,Хорошево-Мневники,Живописная ,13К3,Щукинская
40,ПростоеПраво,real_estate_agent,https://www.cian.ru/rent/flat/201527588/,Москва,rent,flat,4,5,1,32.6,60000,0,Щукино, Маршала Рыбалко,16К1,Щукинская
41,Майя Исмаилова,realtor,https://www.cian.ru/rent/flat/167324956/,Москва,rent,flat,1,16,1,40.0,60000,0,Строгино, Маршала Катукова,9К1,Щукинская
42,Ольга Аптовцова,realtor,https://www.cian.ru/rent/flat/162364901/,Москва,rent,flat,22,22,1,37.0,47000,0,Строгино,Таллинская ,30,Щукинская
43,Александра Мирошниченко,realtor,https://www.cian.ru/rent/flat/305944367/,Москва,rent,flat,9,14,1,20.0,60000,0,Сокол,Балтийская ,15,Сокол
44,Моя Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/304860154/,Москва,rent,flat,7,8,1,34.0,67000,0,Хорошевский, Куусинена,17к1,Зорге
45,ФОКУС,official_representative,https://www.cian.ru/rent/flat/307531852/,Москва,rent,flat,8,12,1,34.9,50000,0,Можайский, Красных Зорь,51,Рабочий посёлок
46,ID 19364112,homeowner,https://www.cian.ru/rent/flat/222088314/,Москва,rent,flat,12,16,1,37.0,50000,0,Северное Тушино, Героев Панфиловцев,7К1,Планерная
47,Любовь Щербакова,realtor,https://www.cian.ru/rent/flat/307334054/,Москва,rent,flat,9,9,1,34.0,60000,0,Пресненский,Звенигородское шоссе,3АС1,Улица 1905 года
48,ID 11281744,realtor,https://www.cian.ru/rent/flat/217491574/,Москва,rent,flat,6,16,1,35.0,55000,0,Хорошево-Мневники, Мневники,13К1,Народное Ополчение
