,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,ID 111180900,homeowner,https://www.cian.ru/rent/flat/307737592/,Москва,rent,flat,5,9,1,33.0,100000,0,Замоскворечье,6-й Монетчиковский переулок,15/17,Павелецкая
1,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307707741/,Москва,rent,flat,10,14,1,39.0,120000,0,Замоскворечье,Новокузнецкая ,13С1,Павелецкая
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307701685/,Москва,rent,flat,7,13,1,37.0,95000,0,Замоскворечье,Новокузнецкая ,13С1,Павелецкая
3,ID 72363091,realtor,https://www.cian.ru/rent/flat/307659322/,Москва,rent,flat,7,13,1,37.7,95000,0,Замоскворечье,Новокузнецкая ,13С1,Павелецкая
4,Диана Сейфуллаева,realtor,https://www.cian.ru/rent/flat/307575018/,Москва,rent,flat,9,14,1,42.0,95000,0,Замоскворечье,Новокузнецкая ,6,Павелецкая
5,ID 65950402,unknown,https://www.cian.ru/rent/flat/307575001/,Москва,rent,flat,6,9,1,30.1,85000,0,Даниловский,Дербеневская набережная,13/17К1,Павелецкая
6,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307546230/,Москва,rent,flat,4,9,1,35.0,60000,0,Даниловский,Дубининская ,65К3,Павелецкая
7,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307542818/,Москва,rent,flat,4,9,1,31.0,59990,0,Даниловский,Дубининская ,65К3,Павелецкая
8,ID 7181668,unknown,https://www.cian.ru/rent/flat/307453422/,Москва,rent,flat,7,12,1,41.0,95000,0,Замоскворечье,Валовая ,21К125,Павелецкая
9,ID 50513,realtor,https://www.cian.ru/rent/flat/307308337/,Москва,rent,flat,4,9,1,35.0,62000,0,Замоскворечье,6-й Монетчиковский переулок,15/17,Павелецкая
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307244140/,Москва,rent,flat,2,48,1,36.0,140000,0,Даниловский,Дубининская ,59А,Павелецкая
11,ID 661323,unknown,https://www.cian.ru/rent/flat/306961524/,Москва,rent,flat,2,48,1,36.0,140000,0,Даниловский,Дубининская ,59А,Павелецкая
12,YU HOME,real_estate_agent,https://www.cian.ru/rent/flat/306937091/,Москва,rent,flat,1,5,1,35.0,90000,0,Замоскворечье,Вишняковский переулок,6,Павелецкая
13,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/306928280/,Москва,rent,flat,1,5,1,31.0,103000,0,Замоскворечье,Вишняковский переулок,6,Павелецкая
14,ID 63917398,unknown,https://www.cian.ru/rent/flat/306874363/,Москва,rent,flat,7,14,1,36.0,90000,0,Замоскворечье, Зацепа,22,Павелецкая
15,Наталья Бондаренко,realtor,https://www.cian.ru/rent/flat/306708730/,Москва,rent,flat,5,9,1,32.0,99000,0,Замоскворечье, Зацепский Вал,2С2,Павелецкая
16,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/306591432/,Москва,rent,flat,1,5,1,31.0,95000,0,Замоскворечье,Вишняковский переулок,6,Павелецкая
17,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/305778945/,Москва,rent,flat,1,5,1,32.0,90000,0,Замоскворечье,Вишняковский переулок,6,Павелецкая
18,ПИК-Аренда,real_estate_agent,https://www.cian.ru/rent/flat/305389629/,Москва,rent,flat,6,14,1,34.0,135300,0,Замоскворечье,Большой Строченовский переулок,9,Павелецкая
19,ID 154071,unknown,https://www.cian.ru/rent/flat/302928342/,Москва,rent,flat,1,5,1,31.3,95000,0,Замоскворечье,Вишняковский переулок,6,Павелецкая
20,ID 29738035,unknown,https://www.cian.ru/rent/flat/302853156/,Москва,rent,flat,6,14,1,35.9,70000,0,Даниловский,Дубининская ,84,Павелецкая
21,ID 15881,realtor,https://www.cian.ru/rent/flat/270928148/,Москва,rent,flat,11,14,1,43.0,90000,0,Замоскворечье,Новокузнецкая ,13С1,Павелецкая
22,Игорь Шергин,realtor,https://www.cian.ru/rent/flat/268632627/,Москва,rent,flat,4,7,1,40.0,140000,0,Замоскворечье,Шлюзовая набережная,2А,Павелецкая
23,ID 13043607,realtor,https://www.cian.ru/rent/flat/257629492/,Москва,rent,flat,4,9,1,32.0,80000,0,Замоскворечье,Дубининская ,6С1,Павелецкая
24,Андрей Вокин,realtor,https://www.cian.ru/rent/flat/307647164/,Москва,rent,flat,7,8,1,35.0,65000,0,Хамовники,Новодевичий проезд,4,Спортивная
