,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Евгений Тогобицкий,realtor,https://ramenskoye.cian.ru/rent/flat/307486988/,Москва,rent,flat,5,5,3,56.4,50000,0,Центральный,Рабочая ,1,Фабричная
1,ID 120926603,homeowner,https://ramenskoye.cian.ru/rent/flat/306417587/,Москва,rent,flat,6,20,3,76.0,65000,0,Западный,Северное шоссе,12,Фабричная
2,ID 72057433,realtor,https://ramenskoye.cian.ru/rent/flat/305619442/,Москва,rent,flat,14,14,3,75.0,55000,0,Центральный, Михалевича,23,Фабричная
3,ID 90811447,homeowner,https://ramenskoye.cian.ru/rent/flat/288784724/,Москва,rent,flat,4,5,3,56.0,57000,0,Центральный, Михалевича,44,Фабричная
4,Владис Новый Город,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/307696178/,Москва,rent,flat,2,5,1,31.0,22000,0,Западный,Коммунистическая ,10,Фабричная
5,ID 231632,realtor,https://zhukovsky.cian.ru/rent/flat/307639525/,Москва,rent,flat,5,5,2,47.0,25000,0,, Гагарина,32к3,Ильинская
6,МИРА,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/304669585/,Москва,rent,flat,2,3,1,34.0,25000,0,Томилино рп, Гоголя,15,
7,ID 95101614,homeowner,https://lyubertsy.cian.ru/rent/flat/306898000/,Москва,rent,flat,2,2,-1,16.0,15000,0,Микрорайон экопарк, Есенина,,
8,ID 122122236,homeowner,https://ramenskoye.cian.ru/rent/flat/307679644/,Москва,rent,flat,3,5,2,45.0,30000,0,Центральный,Донинское шоссе,2,Фабричная
9,ID 80683912,realtor,https://lyubertsy.cian.ru/rent/flat/306103625/,Москва,rent,flat,1,17,-1,73.0,18000,0,пос. Мирный, Академика Северина,10,
10,ID 20304979,homeowner,https://ramenskoye.cian.ru/rent/flat/307549195/,Москва,rent,flat,1,17,1,41.5,30000,0,Центральный, Приборостроителей,14,Фабричная
11,ID 108356299,unknown,https://ramenskoye.cian.ru/rent/flat/307517297/,Москва,rent,flat,3,3,1,33.0,25000,0,Залинейный,Десантная ,10,Фабричная
12,ID 344423,homeowner,https://lyubertsy.cian.ru/rent/flat/304004147/,Москва,rent,flat,10,18,1,35.0,25000,0,пос. Мирный, Академика Северина,10,
13,Ирина Вьюговская,realtor,https://ramenskoye.cian.ru/rent/flat/307633939/,Москва,rent,flat,1,5,1,40.2,35000,0,Центральный,Красноармейская ,9,Фабричная
14,ID 755581,realtor,https://lyubertsy.cian.ru/rent/flat/307636537/,Москва,rent,flat,5,5,2,54.0,28000,0,Томилино рп, Пионерская,17,
15,ДОМУС,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/307146063/,Москва,rent,flat,5,5,1,38.0,27000,0,Центральный, Гурьева,16,Фабричная
16,Сто Ключей - офис Воскресенск. ул.Менделеева д.1,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/304741381/,Москва,rent,flat,5,5,2,53.9,30000,0,пос. Дружба, Первомайская,3,
17,Юрий Ким,realtor,https://lyubertsy.cian.ru/rent/flat/255573851/,Москва,rent,flat,3,3,2,42.6,30000,0,Малаховка рп, Интернациональная,17А,
18,ID 47343912,homeowner,https://ramenskoye.cian.ru/rent/flat/301739147/,Москва,rent,flat,4,12,2,50.0,55000,0,Ильинский рп, Чкалова,2,
19,Анжелика Хакунова,realtor,https://lyubertsy.cian.ru/rent/flat/307231611/,Москва,rent,flat,1,5,1,33.0,33000,0,Красково дп, КСЗ,27,
20,ID 80978729,homeowner,https://zhukovsky.cian.ru/rent/flat/307642127/,Москва,rent,flat,16,26,1,39.0,40000,0,, Гагарина,62,Ильинская
21,NSK НЕДВИЖИМОСТЬ,real_estate_agent,https://ramenskoye.cian.ru/rent/flat/307251669/,Москва,rent,flat,5,6,1,41.0,30000,0,д. Островцы,Подмосковная ,26,
22,ID 58633999,homeowner,https://ramenskoye.cian.ru/rent/flat/253905939/,Москва,rent,flat,1,3,2,40.0,25000,0,,,,
