,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Замоскворечье,real_estate_agent,https://www.cian.ru/rent/flat/307771100/,Москва,rent,flat,5,20,3,74.0,85000,0,Марьино,Новочеркасский бульвар,20К2,Курьяново
1,Ольга Тормышова,realtor,https://www.cian.ru/rent/flat/307534372/,Москва,rent,flat,12,32,3,59.1,80000,0,Марьино,Донецкая ,30к1,Курьяново
2,Самолет Плюс Москва,real_estate_agent,https://www.cian.ru/rent/flat/307432828/,Москва,rent,flat,3,9,3,62.0,90000,0,Марьино,Батайский проезд,27,Курьяново
3,Людмила Иванова,realtor,https://www.cian.ru/rent/flat/306878689/,Москва,rent,flat,7,9,3,59.2,80000,0,Марьино,Новочеркасский бульвар,26,Курьяново
4,Монолит,real_estate_agent,https://www.cian.ru/rent/flat/304020633/,Москва,rent,flat,7,9,3,62.0,65000,0,Марьино,Новочеркасский бульвар,10,Курьяново
5,Ярослав Бибиков,realtor,https://www.cian.ru/rent/flat/286082516/,Москва,rent,flat,8,22,3,70.0,80000,0,Марьино,Новочеркасский бульвар,5,Курьяново
6,Елена Стометова,realtor,https://www.cian.ru/rent/flat/307561705/,Москва,rent,flat,3,9,2,45.0,60000,0,Марьино,Новочеркасский бульвар,9,Курьяново
7,Ренат Шейдаев,realtor,https://www.cian.ru/rent/flat/295041425/,Москва,rent,flat,2,8,4,106.0,100000,0,Ломоносовский, Марии Ульяновой,16,Проспект Вернадского
8,MDco,real_estate_agent,https://www.cian.ru/rent/flat/307429622/,Москва,rent,flat,1,9,3,76.0,65000,0,Зябликово,Шипиловская ,41К1,Шипиловская
9,Магазин квартир,real_estate_agent,https://www.cian.ru/rent/flat/307561673/,Москва,rent,flat,12,12,2,50.0,60000,0,Люблино,Белореченская ,21,Люблино
10,ID 102748459,homeowner,https://www.cian.ru/rent/flat/295059770/,Москва,rent,flat,13,17,2,55.0,75000,0,Марьино,Люблинская ,118,Марьино
11,ID 76871139,homeowner,https://www.cian.ru/rent/flat/307264709/,Москва,rent,flat,10,17,3,77.0,85000,0,Марьино,Братиславская ,15К1,Братиславская
12,Елена Абрамова,realtor,https://www.cian.ru/rent/flat/296267694/,Москва,rent,flat,4,14,2,55.7,70000,0,Марьино,Поречная ,3К1,Марьино
13,ID 56608287,realtor,https://www.cian.ru/rent/flat/307638865/,Москва,rent,flat,7,9,2,42.8,63000,0,Печатники,Шоссейная ,19к1,Печатники
14,Калитаград,real_estate_agent,https://www.cian.ru/rent/flat/307664660/,Москва,rent,flat,7,9,2,42.6,50000,0,Люблино, Головачева,13,Люблино
15,ID 53093532,homeowner,https://www.cian.ru/rent/flat/307712629/,Москва,rent,flat,12,16,1,38.2,60000,0,Марьино,Белореченская ,28К1,Братиславская
16,ID 27897,realtor,https://www.cian.ru/rent/flat/307432003/,Москва,rent,flat,14,14,2,54.0,60000,0,Марьино,Поречная ,3К1,Марьино
17,AGORA,real_estate_agent,https://www.cian.ru/rent/flat/307632004/,Москва,rent,flat,12,12,3,63.0,75000,0,Коньково, Островитянова,37,Коньково
18,Андрей Корчуганов,realtor,https://www.cian.ru/rent/flat/307618281/,Москва,rent,flat,5,12,3,62.0,85000,0,Текстильщики, Юных Ленинцев,10/15К2,Печатники
19,АЕ-Новострой,real_estate_agent,https://www.cian.ru/rent/flat/307432397/,Москва,rent,flat,5,25,1,35.6,70000,0,Люблино,Люблинская ,78к3,Перерва
20,ЦЗН ПРОСПЕКТ МИРА,real_estate_agent,https://www.cian.ru/rent/flat/307460022/,Москва,rent,flat,2,16,3,80.0,80000,0,Митино,Пятницкое шоссе,36,Пятницкое шоссе
21,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307686954/,Москва,rent,flat,2,9,3,59.0,85000,0,Печатники,Шоссейная ,19к2,Люблино
22,Максим Николаев,realtor,https://www.cian.ru/rent/flat/218194296/,Москва,rent,flat,12,14,2,54.0,60000,0,Марьино,Подольская ,27К1,Курьяново
23,Лидия Скороходова,realtor,https://www.cian.ru/rent/flat/232200003/,Москва,rent,flat,13,17,1,38.0,53000,0,Марьино,Братиславская ,15К1,Братиславская
