,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,АВАНГАРД,real_estate_agent,https://www.cian.ru/rent/flat/307780907/,Москва,rent,flat,11,17,1,39.0,40000,0,Некрасовка, Недорубова,26,Некрасовка
1,ID 413170,realtor,https://lyubertsy.cian.ru/rent/flat/307779853/,Москва,rent,flat,5,25,1,37.0,55000,0,, Юности,13к1,Некрасовка
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307779172/,Москва,rent,flat,2,18,1,36.0,55000,0,Некрасовка,проспект Защитников Москвы,15,Некрасовка
3,Денис Мастяев,realtor,https://lyubertsy.cian.ru/rent/flat/307777622/,Москва,rent,flat,11,23,1,40.0,45000,0,,Комсомольский проспект,18/1,Некрасовка
4,Capital Mars,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307777387/,Москва,rent,flat,5,25,1,29.0,45000,0,,Инициативная ,13,Некрасовка
5,,,https://www.cian.ru/rent/flat/307777201/,Москва,rent,flat,14,17,1,40.0,65000,0,Некрасовка,Рождественская ,25,Некрасовка
6,ID 56703798,homeowner,https://www.cian.ru/rent/flat/307774160/,Москва,rent,flat,12,19,1,40.0,60000,0,Некрасовка, Ухтомского Ополчения,4,Некрасовка
7,Сергей Шабалкин,realtor,https://www.cian.ru/rent/flat/307772162/,Москва,rent,flat,4,9,1,34.0,25000,0,Некрасовка,1-я Вольская ,15К2,Некрасовка
8,ГАРАНТ,real_estate_agent,https://www.cian.ru/rent/flat/307759503/,Москва,rent,flat,7,19,1,33.0,57000,0,Некрасовка, Лавриненко,1,Некрасовка
9,Парус,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307755959/,Москва,rent,flat,5,25,1,37.0,55000,0,, Юности,13к1,Некрасовка
10,EstateLiga,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307751532/,Москва,rent,flat,2,17,1,37.0,40000,0,,проезд Некрасовский,13,Некрасовка
11,ID 563481,realtor,https://www.cian.ru/rent/flat/307749413/,Москва,rent,flat,10,22,1,40.0,45000,0,Некрасовка,Рождественская ,15,Некрасовка
12,ГОРОБМЕН,real_estate_agent,https://www.cian.ru/rent/flat/307746654/,Москва,rent,flat,9,19,1,36.0,47000,0,Некрасовка,Рождественская ,21к1,Некрасовка
13,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307742102/,Москва,rent,flat,18,27,1,40.0,65000,0,Некрасовка,Рождественская ,33,Некрасовка
14,Иван Музалевский,realtor,https://lyubertsy.cian.ru/rent/flat/307741001/,Москва,rent,flat,2,26,1,36.0,50000,0,, Рождественская,6,Некрасовка
15,EstateLiga,real_estate_agent,https://balashikha.cian.ru/rent/flat/307738906/,Москва,rent,flat,13,22,1,35.0,35000,0,,шоссе Косинское,8,Некрасовка
16,Паскаль,real_estate_agent,https://www.cian.ru/rent/flat/307738673/,Москва,rent,flat,9,26,1,42.0,65000,0,Некрасовка, Липчанского,10,Некрасовка
17,Столичный Проспект,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307734826/,Москва,rent,flat,10,20,1,34.0,35000,0,, Вертолетная,4к1,Некрасовка
18,ID 287142,unknown,https://www.cian.ru/rent/flat/307734626/,Москва,rent,flat,24,26,1,38.0,45000,0,Некрасовка, Вертолетчиков,2Ак2,Некрасовка
19,LIFE ESTATE,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307726342/,Москва,rent,flat,16,17,1,45.0,60000,0,, Весенняя,14,Некрасовка
20,Ольга Эмирова,realtor,https://www.cian.ru/rent/flat/307726000/,Москва,rent,flat,10,12,1,38.0,50000,0,Косино-Ухтомский,Святоозерская ,24,Некрасовка
21,ID 90224500,homeowner,https://lyubertsy.cian.ru/rent/flat/307723667/,Москва,rent,flat,12,17,1,30.0,48000,0,, Камова,9к3,Некрасовка
22,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307721556/,Москва,rent,flat,2,25,1,25.0,43000,0,Некрасовка, Недорубова,5,Некрасовка
23,Дмитрий Касюкин,realtor,https://www.cian.ru/rent/flat/307721284/,Москва,rent,flat,7,18,1,40.0,50000,0,Некрасовка, Липчанского,1,Некрасовка
24,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307719204/,Москва,rent,flat,22,25,1,46.0,60000,0,Некрасовка, Вертолетчиков,2к2,Некрасовка
25,Андрей Поймёнов,realtor,https://lyubertsy.cian.ru/rent/flat/307716510/,Москва,rent,flat,11,19,1,40.0,42000,0,, Дружбы,11/26,Некрасовка
26,Про Жильё,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307713917/,Москва,rent,flat,11,18,1,20.0,45000,0,,проезд Некрасовский,13,Некрасовка
27,Про Жильё,real_estate_agent,https://lyubertsy.cian.ru/rent/flat/307708350/,Москва,rent,flat,10,17,1,45.0,46000,0,,проезд Некрасовский,13,Некрасовка
