,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,Холдинг Профи,real_estate_agent,https://www.cian.ru/rent/flat/307723598/,Москва,rent,flat,28,30,1,46.0,140000,0,Южнопортовый,Волгоградский проспект,32/3к4,Дубровка
1,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307703107/,Москва,rent,flat,4,30,1,42.0,125000,0,Южнопортовый,Волгоградский проспект,32/3к4,Дубровка
2,Юлия Александрочкина,realtor,https://www.cian.ru/rent/flat/307685278/,Москва,rent,flat,17,21,1,43.1,140000,0,Даниловский, Виктора Маслова,2,Дубровка
3,ID 41076883,realtor,https://www.cian.ru/rent/flat/307684711/,Москва,rent,flat,11,12,1,42.0,70000,0,Южнопортовый,1-я Дубровская ,2БК2,Дубровка
4,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307684285/,Москва,rent,flat,9,30,1,40.0,90000,0,Южнопортовый,Волгоградский проспект,32/5к1,Дубровка
5,Александр Гайдуков,realtor,https://www.cian.ru/rent/flat/307659205/,Москва,rent,flat,2,9,1,38.0,50000,0,Южнопортовый, Петра Романова,1,Дубровка
6,TheBest,real_estate_agent,https://www.cian.ru/rent/flat/307651345/,Москва,rent,flat,8,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к4,Дубровка
7,ID 109209993,realtor,https://www.cian.ru/rent/flat/307641565/,Москва,rent,flat,13,30,1,34.0,130000,0,Южнопортовый,Волгоградский проспект,32/3к1,Дубровка
8,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307610299/,Москва,rent,flat,8,13,1,49.0,120000,0,Южнопортовый,6-я Кожуховская ,11К2,Дубровка
9,ID 18169935,unknown,https://www.cian.ru/rent/flat/307609888/,Москва,rent,flat,4,30,1,42.0,125000,0,Южнопортовый,Волгоградский проспект,32/3к4,Дубровка
10,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307606184/,Москва,rent,flat,18,30,1,26.0,68000,0,Южнопортовый,Волгоградский проспект,32/3к3,Дубровка
11,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307605476/,Москва,rent,flat,2,5,1,32.0,85000,0,Даниловский, Симоновский Вал,24К2,Дубровка
12,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307605417/,Москва,rent,flat,14,17,1,40.0,70000,0,Южнопортовый, Трофимова,32К1,Дубровка
13,BOND недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307586766/,Москва,rent,flat,16,30,1,40.0,85000,0,Южнопортовый,Волгоградский проспект,32/5к2,Дубровка
14,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307581793/,Москва,rent,flat,16,30,1,30.0,65000,0,Южнопортовый,Волгоградский проспект,32/3к3,Дубровка
15,Три Ступени,real_estate_agent,https://www.cian.ru/rent/flat/307525027/,Москва,rent,flat,11,30,1,40.0,80000,0,Южнопортовый, 1-я Машиностроения,10,Дубровка
16,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307496901/,Москва,rent,flat,7,30,1,29.0,70000,0,Южнопортовый,Волгоградский проспект,32/5к1,Дубровка
17,ID 88729001,realtor,https://www.cian.ru/rent/flat/307462661/,Москва,rent,flat,1,9,1,35.0,60000,0,Даниловский, Симоновский Вал,8,Дубровка
18,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307454859/,Москва,rent,flat,7,30,1,28.0,70000,0,Южнопортовый,Волгоградский проспект,32/5к1,Дубровка
19,Про Жильё,real_estate_agent,https://www.cian.ru/rent/flat/307433246/,Москва,rent,flat,17,30,1,40.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Дубровка
20,ID 67029,realtor,https://www.cian.ru/rent/flat/307275961/,Москва,rent,flat,2,5,1,30.5,49000,0,Даниловский, Симоновский Вал,20К2,Дубровка
21,Парус,real_estate_agent,https://www.cian.ru/rent/flat/307249921/,Москва,rent,flat,17,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Дубровка
22,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307220437/,Москва,rent,flat,17,30,1,38.0,82000,0,Южнопортовый,Волгоградский проспект,32/3к3,Дубровка
23,Яндекс Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307210680/,Москва,rent,flat,24,29,1,46.0,141000,0,Даниловский, Виктора Маслова,2,Дубровка
24,Элитный Дом,real_estate_agent,https://www.cian.ru/rent/flat/307151897/,Москва,rent,flat,17,30,1,38.0,85000,0,Южнопортовый,Волгоградский проспект,32/3к3,Дубровка
25,ID 121513117,homeowner,https://www.cian.ru/rent/flat/307061201/,Москва,rent,flat,8,13,1,50.0,105000,0,Южнопортовый,6-я Кожуховская ,11К2,Дубровка
26,ID 3182,realtor,https://www.cian.ru/rent/flat/307036277/,Москва,rent,flat,2,8,1,30.0,60000,0,Даниловский,Восточная ,2К3,Дубровка
27,СмениКварти.Ру,real_estate_agent,https://www.cian.ru/rent/flat/306800132/,Москва,rent,flat,1,9,1,36.0,55000,0,Южнопортовый, Симоновский Вал,17К1,Дубровка
