,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,district,street,house_number,underground
0,РЕФЕРАЛ-Недвижимость,real_estate_agent,https://www.cian.ru/rent/flat/307779324/,Москва,rent,flat,21,21,3,50.0,100000,0,Солнцево,Производственная ,4А,Солнечная
1,ID 26158211,unknown,https://www.cian.ru/rent/flat/307686758/,Москва,rent,flat,14,17,3,82.5,85000,0,Солнцево,Волынская ,12К1,Солнечная
2,Capital Mars,real_estate_agent,https://www.cian.ru/rent/flat/307432141/,Москва,rent,flat,1,22,3,81.0,85000,0,Солнцево,Производственная ,2к1,Солнечная
3,Светлана Биличенко,realtor,https://www.cian.ru/rent/flat/307427566/,Москва,rent,flat,1,22,3,80.0,85000,0,Солнцево,Производственная ,2к1,Солнечная
4,MRealty.Moscow,real_estate_agent,https://www.cian.ru/rent/flat/307416553/,Москва,rent,flat,20,23,3,88.4,100000,0,Солнцево, Богданова,6к1,Солнечная
5,Руслан Горовиков,realtor,https://www.cian.ru/rent/flat/307409799/,Москва,rent,flat,11,17,3,81.0,80000,0,Солнцево, Богданова,14К1,Солнечная
6,Светлана Джавриева,realtor,https://www.cian.ru/rent/flat/264129998/,Москва,rent,flat,3,9,3,55.0,65000,0,Солнцево,Солнцевский проспект,9К2,Солнечная
7,ID 46989435,realtor,https://www.cian.ru/rent/flat/307687938/,Москва,rent,flat,4,22,2,78.0,55000,0,Солнцево,Производственная ,4к2,Солнечная
8,ID 17030796,realtor,https://www.cian.ru/rent/flat/307724913/,Москва,rent,flat,16,22,2,62.8,62000,0,, Анны Ахматовой,22,Рассказовка
9,ID 92569743,homeowner,https://www.cian.ru/rent/flat/307585469/,Москва,rent,flat,6,13,2,60.0,65000,0,, Летчика Грицевца,,Пыхтино
10,Ольга Петрова,realtor,https://www.cian.ru/rent/flat/277957336/,Москва,rent,flat,10,24,1,45.0,65000,0,Солнцево,Боровское шоссе,2к5,Говорово
11,ID 33191906,unknown,https://www.cian.ru/rent/flat/307701539/,Москва,rent,flat,4,5,3,58.6,80000,0,Филевский парк,Сеславинская ,38,Филёвский парк
12,Анна Тюрина,realtor,https://www.cian.ru/rent/flat/307672641/,Москва,rent,flat,10,24,3,51.0,120000,0,Очаково-Матвеевское,Очаковское шоссе,5к4,Давыдково
13,ЛендЛар,real_estate_agent,https://www.cian.ru/rent/flat/307686342/,Москва,rent,flat,6,9,3,86.0,100000,0,,бульвар Андрея Тарковского,,Рассказовка
14,ID 16254,realtor,https://www.cian.ru/rent/flat/307685806/,Москва,rent,flat,3,5,3,60.0,85000,0,Проспект Вернадского,проспект Вернадского,24,Проспект Вернадского
15,Олеся Фадеева,realtor,https://www.cian.ru/rent/flat/307703915/,Москва,rent,flat,9,9,1,35.0,65000,0,Солнцево,Солнцевский проспект,5К2,Солнечная
16,ИНКОМ-Недвижимость. Аренда,real_estate_agent,https://www.cian.ru/rent/flat/307577090/,Москва,rent,flat,8,9,3,75.0,60000,0,Южное Бутово,Южнобутовская ,84,Бунинская аллея
17,Сергей Медведев,realtor,https://www.cian.ru/rent/flat/306983923/,Москва,rent,flat,6,9,3,60.0,70000,0,Ломоносовский,Ленинский проспект,93К3,Новаторская
18,ID 15391555,unknown,https://www.cian.ru/rent/flat/306903913/,Москва,rent,flat,10,25,2,75.0,100000,0,Проспект Вернадского, Удальцова,46,Мичуринский проспект
19,Андрей Кривец,realtor,https://www.cian.ru/rent/flat/307432924/,Москва,rent,flat,17,17,3,75.8,80000,0,Ново-Переделкино,Лукинская ,7,Новопеределкино
20,ID 12578403,homeowner,https://www.cian.ru/rent/flat/307397391/,Москва,rent,flat,1,15,2,51.0,70000,0,, Татьянин Парк,14к1,Говорово
21,RENT_BAND,real_estate_agent,https://www.cian.ru/rent/flat/307552406/,Москва,rent,flat,2,16,2,37.0,60000,0,Солнцево, Юлиана Семенова,8к1,Солнечная
22,ID 7299,realtor,https://www.cian.ru/rent/flat/307722898/,Москва,rent,flat,18,24,2,39.0,69999,0,Ново-Переделкино,Чоботовская ,2к2,Новопеределкино
23,ID 17542,realtor,https://www.cian.ru/rent/flat/307656544/,Москва,rent,flat,9,9,2,45.0,70000,0,Тропарево-Никулино, 26 Бакинских Комиссаров,1к2,Юго-Западная
24,Самолет Плюс,real_estate_agent,https://www.cian.ru/rent/flat/279246528/,Москва,rent,flat,8,25,3,78.0,85000,0,, Авиаконструктора Петлякова,27,Пыхтино
